Time,Numerical,Analytical,Relative Error
0.104,0.9012721311,0.9012252974,5.196670955e-05
0.105,0.9003717594,0.9003245226,5.246640256e-05
0.106,0.8994722871,0.8994246481,5.296609581e-05
0.107,0.8985737134,0.898525673,5.346578932e-05
0.108,0.8976760373,0.8976275964,5.396548308e-05
0.109,0.8967792581,0.8967304175,5.446517708e-05
0.11,0.8958833747,0.8958341353,5.496487134e-05
0.111,0.8949883863,0.8949387489,5.546456585e-05
0.112,0.894094292,0.8940442575,5.59642606e-05
0.113,0.8932010909,0.8931506601,5.646395561e-05
0.114,0.8923087822,0.8922579559,5.696365086e-05
0.115,0.8914173648,0.8913661439,5.746334637e-05
0.116,0.890526838,0.8904752233,5.796304212e-05
0.117,0.8896372007,0.8895851932,5.846273812e-05
0.118,0.8887484523,0.8886960526,5.896243438e-05
0.119,0.8878605917,0.8878078008,5.946213088e-05
0.12,0.8869736181,0.8869204367,5.996182763e-05
0.121,0.8860875306,0.8860339596,6.046152463e-05
0.122,0.8852023282,0.8851483685,6.096122189e-05
0.123,0.8843180102,0.8842636626,6.146091939e-05
0.124,0.8834345756,0.8833798409,6.196061714e-05
0.125,0.8825520236,0.8824969026,6.246031514e-05
0.126,0.8816703533,0.8816148468,6.296001339e-05
0.127,0.8807895637,0.8807336726,6.345971189e-05
0.128,0.879909654,0.8798533791,6.395941064e-05
0.129,0.8790306234,0.8789739655,6.445910964e-05
0.13,0.878152471,0.8780954309,6.495880889e-05
0.131,0.8772751958,0.8772177744,6.545850839e-05
0.132,0.876398797,0.8763409951,6.595820814e-05
0.133,0.8755232737,0.8754650921,6.645790814e-05
0.134,0.8746486251,0.8745900646,6.695760839e-05
0.135,0.8737748502,0.8737159117,6.745730888e-05
0.136,0.8729019483,0.8728426325,6.795700963e-05
0.137,0.8720299183,0.8719702261,6.845671063e-05
0.138,0.8711587596,0.8710986917,6.895641188e-05
0.139,0.8702884711,0.8702280285,6.945611337e-05
0.14,0.8694190521,0.8693582354,6.995581512e-05
0.141,0.8685505016,0.8684893117,7.045551712e-05
0.142,0.8676828187,0.8676212565,7.095521936e-05
0.143,0.8668160027,0.8667540689,7.145492186e-05
0.144,0.8659500527,0.8658877481,7.19546246e-05
0.145,0.8650849677,0.8650222931,7.24543276e-05
0.146,0.864220747,0.8641577032,7.295403084e-05
0.147,0.8633573896,0.8632939774,7.345373434e-05
0.148,0.8624948947,0.8624311149,7.395343808e-05
0.149,0.8616332614,0.8615691149,7.445314207e-05
0.15,0.8607724889,0.8607079764,7.495284632e-05
0.151,0.8599125764,0.8598476987,7.545255081e-05
0.152,0.8590535228,0.8589882807,7.595225555e-05
0.153,0.8581953275,0.8581297218,7.645196054e-05
0.154,0.8573379895,0.857272021,7.695166579e-05
0.155,0.856481508,0.8564151775,7.745137128e-05
0.156,0.8556258821,0.8555591904,7.795107702e-05
0.157,0.854771111,0.8547040588,7.845078301e-05
0.158,0.8539171938,0.853849782,7.895048925e-05
0.159,0.8530641297,0.852996359,7.945019574e-05
